Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771353
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624376
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.3248065
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.0371127
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016916
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607017
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547931
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.3854879
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250632
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796321
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769494
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073065
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.6197724
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.7965248
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601649
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.3724051
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247149
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.635369
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000601
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380337
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.684865
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.4039268
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.3960711
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.6623042
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425367
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.836381
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134584
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981
35,14,Urban,Silver,74,5,Night,Premium,175,727.8809448
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.6526416
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258269
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.6404792
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.3593007
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.2719657
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485544
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.5695408
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855257
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.3651376
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181946
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363001
88,55,Rural,Regular,56,4,Night,Premium,26,159.6069186
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.801051
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695625
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.504076
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.6832395
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275102
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.44289065
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.4249153
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929391
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.746701
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834277
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.519012
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284013
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.985521
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.2821971
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.954763
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934492
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483155
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963495
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.6219494
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.4105313
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453021
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118
93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245755
92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.9977391
61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306
53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972
55,21,Urban,Regular,20,3.56,Night,Premium,134,519.4694924
57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501
34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122299
50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.100076
35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633
43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429
50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391325
55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976878
93,67,Urban,Silver,21,4.88,Night,Premium,87,417.9131413
94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093622
70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.089112
36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116
37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.8156288
68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.1617948
77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.6434979
27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.946428
90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.342709
46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192642
96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.2030658
80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837978
80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.3027601
64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.6101943
57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373
52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803273
69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474983
67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369
25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.2158433
80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520701
73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.0533307
24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.4755378
37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987
27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985127
23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721334
42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532
74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.7545389
68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514566
59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651643
89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546415
81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421
33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.8375505
75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033
87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541299
56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.584838
75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377
99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.6407114
33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.2925319
41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.0511403
55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.913416
93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.4216603
54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626811
34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263612
86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571
85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210117
74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125243
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.568582
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556068
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.2157353
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.9398803
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.4648783
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.0737865
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509274
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000695
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.3393609
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.751717
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796306
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.5467165
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171618
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.4346784
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.977217
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711771
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.3943924
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941798
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426677
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.3738037
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193486
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850222
94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811
86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.2574631
79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.560565
73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434722
74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740954
26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.8447103
99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011
80,42,Urban,Gold,85,4.22,Night,Economy,131,473.561754
78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.8809578
63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.4992195
25,8,Rural,Regular,30,4.44,Night,Economy,115,430.785851
100,50,Urban,Regular,20,4.14,Evening,Economy,127,350.2265836
46,8,Urban,Silver,32,4.81,Afternoon,Economy,112,466.4274793
59,29,Urban,Regular,90,4.3,Night,Economy,145,651.730389
21,11,Rural,Gold,18,4.2,Morning,Premium,49,266.3480732
64,7,Rural,Silver,48,4.67,Evening,Economy,64,266.3853768
52,22,Suburban,Gold,72,3.6,Morning,Premium,101,303.8032264
100,56,Suburban,Silver,67,4.2,Evening,Economy,169,461.9661914
83,72,Rural,Regular,25,4.62,Night,Premium,45,201.0575406
89,10,Rural,Silver,36,4.12,Afternoon,Premium,13,94.21444739
100,37,Rural,Silver,47,4.7,Afternoon,Economy,142,546.8574477
71,7,Urban,Gold,31,4.83,Morning,Premium,60,292.7468301
94,26,Suburban,Regular,0,3.94,Afternoon,Premium,40,150.9060377
52,23,Urban,Regular,41,4.23,Evening,Economy,134,534.9066334
27,15,Urban,Silver,31,4.95,Afternoon,Economy,103,315.265403
88,62,Urban,Regular,62,4.82,Afternoon,Economy,162,601.2360266
48,38,Suburban,Silver,64,4.97,Night,Premium,152,701.469573
53,35,Suburban,Regular,1,3.67,Morning,Premium,88,392.0078846
31,12,Suburban,Gold,34,4.7,Night,Economy,105,331.8375249
56,34,Suburban,Silver,1,4.56,Afternoon,Economy,121,307.5259291
48,35,Rural,Gold,47,4.26,Morning,Economy,26,68.271745
93,66,Suburban,Silver,22,3.91,Night,Economy,180,765.4397486
49,18,Rural,Silver,62,4.92,Afternoon,Economy,62,168.3662892
72,33,Rural,Gold,63,4.25,Evening,Economy,132,351.773619
